003/01;L'écriture chinoise;ALLETON Viviane;Paris;Puf;1976;128;Ecriture;1168
003/02;Les écritures secrète;MULLER André;Paris;Puf;1971;136;Ecriture;1954
003/03;L'écriture;HIGOUNET Charles;Paris;Puf;1976;128;Ecriture;1953
003/04;L'écrit et la communication;ESCARPIT Robert;Paris;Puf;1973;128;Ecriture;1287
003/05;La faim de lire;BARKER E. Ronald. ESCARPIT Robert;Paris;Unesco;1973;172;Ecriture;5857
003/10;Travaux sur les systèmes de signes : école de Tartufe;  ;Bruxelles;Complexe;1976;256;La sémiotique;16660
007/002/01;Sciences techniques de l'information et de la documentation : introduction générale;GUINCHAT Claire. MENOU Michel;Paris;Unesco;1981;400;Action et organisation en général;11334
007/01;Les moyens d'information dans la société;HALLORAN James;Paris;Unesco;1970;39;Information, communications;7420
007/02;Les émissions radiodiffusées vers l'étranger et la compréhension internationale;  ;Paris;Unesco;1978;56;Information, communications;7418
007/03;Les conseils nationaux de la politique de la communication : principes et expériences;  ;Paris;Unesco;1979;47;Information, communications;7417
007/04;Dare information management system;UNESCO;Paris;Unesco;1975;23;Information, communications;7409
007/05;Les moyens d'information dans un monde de violence;BURNET Mary;Paris;Unesco;1971;51;Information, communications;7421
007/06;La pratique de la grande information : quelques enseignements tirés de la recherche;LAKSHMAN Rao;Paris;Unesco;1972;56;Information, communications;7422
007/07;L'information;TERROU Fernand;Paris;Puf;1972;128;Action et organisation en général;1751
007/08;La culture contre la démocratie ? ;MATTELART Armand;Paris;La Découverte;1984;228;Action et organisation en général;13012
007/09;Voix multiples un seul monde : communication et société aujourd'hui et demain;MACBRIDE Sean;Paris;Unesco;1980;367;Action et organisation en général;5676
007/10;La communication écrite : méthodes et perfectionnement;ATHANASE Paul;Casablanca;Al Madariss;1983;352;Communication écrite;18197
007/11;Les médias : presse écrite, radio, télévision;CAYROL Roland;Paris;Puf;1991;480;Communications;22603
007/12;Penser les médias;MATTELART Armand;Paris;La Découverte;1991;24;Communications;22166
007/13;Les chemins de la persuasion : le mode d'influence des médias et de la publicité;KAPFERER J.N;Paris;Dunod;1990;346;Information, communications;22400
007/14;L'Europe de l'information : programmes, marchés et technologies;PELOU Pierre;Paris;Esf;1990;224;Information: Europe;23517
007/15;Macrothésaurus : pour le traitement de l'information relative au développement économique et social;  ;Paris;Ocde;1979;436;Information : terminologie - macrothésaurus;8631
008_510_/01;La Chine;KÜCHLER Ulla - KÜCHLER J'ohannes;Paris;Bibliothèque des Arts;1979;222;Histoire de la chine;2768
008_520_/053;The islamoic world and Japon;The Japan Fondation;Tokyo;;1982;380;Civilisation . Culture . Progrès;12811
008_532_/01;Qaryat Al-Fau a portrait of pre-islamic civilization in Saudia Arabia;AL-ANSARY A.R;London;Ur;1981;208;L'Arabie  Saoudite. Civilisation;9190
008_611_/01;Tunisie : héritière de Carthage;FAURE Edgar. POLI François;Paris;Jeune Afrique;1979;170;La Tunisie. Civilisation;4049
008_61_/81;Nouveaux enjeux culturels au Maghreb;HENRY Jean-Robert;Paris;Cnrs;1986;452;La culture au Maghreb;18267
008_620_/01;Eternelle Egypte : son art, ses monuments, son peuple, son histoire;NEWBY P.h;Paris;Nathan;1980;260;L'Egypte. Civilisation;2766
008_64_/01;Maroc extrême, Maghreb du soleil couchant;JOBERT Michel;Paris;Jeune Afrique;1978;200;Le Maroc. Civilisation;4048
008_64_/02;Maroc millénaire;HUGOT Henri. MAXIMILIEN Bruggmann;Paris;La Bibliothèque arts;1979;226;Le Maroc. Civilisation;2767
008_64_/03;Le Maroc étincelant;MORIN-BARDE Mireille;Paris;Marcus;1975;166;Le Maroc. Civilisation;6406
008_64_/04;Chroniques berbères;MARTEL Olivier. DUVIGNAUD Jean;;Hachette;1981;128;Le Maroc. Civilisation;8664
008_64_/05;Les provinces du Maroc : arts populaires;LYAZIDI Rachid;Madrid;;1980;266;Le Maroc. Civilisation;6401
008_64_/06;Voir le Maroc;GOUGAUD Henri. GOUVIN Colette;Vérome;Hachette;1978;158;Le Maroc. Civilisation;6405
008_64_/07;Tribus berbères du Haut Atlas;BERTRAND André;Lausanne;Edita Vilo;1977;142;Le Maroc. Civilisation;6392
008_64_/08;Le Maroc que j'aime;BLISTENE Marcel;Paris;Sun;1977;154;Le Maroc. Civilisation;6397
008_64_/09;La saison des fêtes dans une vallée du Haut-Atlas;JOUAD Hassan. LORTAT-JACOB Bernard;Paris;Seuil;1978;112;Le Maroc. Civilisation;6407
008_64_/10;Marrakech la fantastique : ville impériale;TALABOT Marcel;Paris;G.p;1975;114;Le Maroc. Civilisation;6399
008_64_/11;Maroc terre d'énigmes;MAZEL Jean;Paris;R. Laffont;1971;178;Le Maroc. Civilisation;6400
008_6_/01;Afrique : les civilisations noires;MAQUET Jacques;Paris;Horizons;1962;290;Histoire des civilisations noires;6411
008_927_/82;Tentation de l'Orient;TAVERNIER René;Paris;A. Michel;1977;189;Civilisation, culture arabe et l'occident;2272
008_927_/87t1;Arabische instrumente in orientalistischen studien. t1 : astronomische instrumente. publikationn 1805 - 1865;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1990;510;Culture : sciences arabes et islamiques;25415
008_927_/87t2;Arabische instrumente in orientalistischen studien. t2 : astronomische instrumente. publikationn 1858 - 1892;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1991;434;Culture : sciences arabes et islamiques;25416
008_927_/87t3;Arabische instrumente in orientalis tischen studien. t3 : astronomische instrumente. publikationn 1893 - 1917;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1991;432;Culture : sciences arabes et islamiques;25417
008_927_/87t4;Arabische instrumente in orientalistischen studien. t4 : astronomische instrumente. publikationn 1918 - 1925;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1991;440;Culture : sciences arabes et islamiques;25418
008_927_/87t5;Arabische instrumente in orientalistischen studien. t5 : geschichte der geodätischen instrumente und verfahren in altertum und mittela;SCHMIDT Fritz;Frankfurt;I.G.A.I.W;1991;432;Culture : sciences arabes et islamiques;25419
008_927_/87t6;Arabische instrumente in orientalistischen studien. t6 : astronomische instrumente. publikationn 1926 - 1931;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1991;428;Culture : sciences arabes et islamiques;25420
008_927_/88t1;Bibliographie der devtschsprachigen arabistik und Islamkunde. t1 : allgemeines und hilfsmittel derforschung;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1990;326;Culture : sciences arabes et islamiques;25421
008_927_/88t2;Bibliographie der devtschsprachigen arabistik und Islamkunde. t2 : islam. religion und theologie. recht und sitte;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1990;738;Culture : sciences arabes et islamiques;25422
008_927_/88t3;Bibliographie der deutschsprachigen arabistik und Islamkunde. t3 : arabische spradre. philologie;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1991;360;Culture : sciences arabes et islamiques;25423
008_927_/88t4;Bibliographie der deutschsprachigen arabistik und Islamkunde. t4 : peosie und prosa;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1991;379;Culture : sciences arabes et islamiques;25424
008_927_/88t5;Bibliographie der deutschsprachigen arabistik und Islamkunde. t5 : wissenschafts geschichte. philosophie, medizin und natur wissenscha;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1991;612;Culture : sciences arabes et islamiques;25425
008_927_/88t6;Bibliographie der deutschsprachigen arabistik und Islamkunde. t6 : kulturgeschiche. gewerbe, handwerke und künste;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1991;476;Culture : sciences arabes et islamiques;25426
008_927_/88t7;Bibliographie der deutschsprachigen arbistik und Islamkunde. t7 : geschichte, wirtschft und verwaltung bis ca. 1800;SEZGIN Fuat (éd);Frankfurt;I.G.A.I.W;1991;649;Culture : sciences arabes et islamiques;25427
008_927_/89;Die psychosomatik bei Abi Zaid Al-Balhi (gest. 934 A.D.);ÖZKAN Zahide;Frankfurt;I.G.A.I.W;1990;170;Culture : sciences arabes et islamiques;25428
008_927_/90;Die abhanlung über den nachweis der natur des möglichen von Yahyâ ibn'Adi (gest. 974 A.D.);EHRIG-EGGERT Carl;Frankfurt;I.G.A.I.W;1990;168;Culture : sciences arabes et islamiques;25429
008_...15_/01;La pensée occidentale face à la sagesse de l'Orient : nature, mythe, psychologie, yoga;ROCHEDIEU Edmond;Paris;Payot;1963;184;Culture occidentale;15679
008:33/45;La marchandise culturelle;  ;Paris;Cnrs;1977;95;Civilisation . culture . progrès;9340
008:342.7/42;Les droits culturels en tant que droits de l'homme;  ;Paris;Unesco;1970;131;Civilisation . culture . progrès;5630
008/01;L'action culturelle de la France dans le monde;BALOUS Suzanne;Paris;Puf;1970;0;Civilisation. Culture . Progrès;6497
008/02;Introduction à la culture africaine;BALOGUN Ola. AGUESSY Honorak. DIAGNE Pathé;Paris;Union Générale d'Editeurs;1977;320;Civilisation . Culture . Progrès;5868
008/03;Aspects de la politique culturelle de l'Algérie;BAGHLI Sid-Ahmed;Paris;Unesco;1977;59;Civilisation . Culture . Progrès;5627
008/04;Aspects de la politique culturelle française;  ;Paris;Unesco;1970;71;Civilisation . Culture . Progrès;5629
008/05;Aspects de la politique culturelle canadienne;SCHAFER Paul;Paris;Unesco;1977;99;Civilisation . Culture . Progrès;5628
008/06;La politique culturelle au Kenya;NDETI Kivuto;Paris;Unesco;1975;79;Civilisation . Culture . Progrès;7364
008/07;La politique culturelle en République Démocratique Allemande;KOCH Hans;Paris;Unesco;1975;65;Civilisation . Culture . Progrès;7365
008/08;La politique culturelle en République Unie du Cameroun;BAHOKEN J.C. ATANGANA Englbert;Paris;Unesco;1975;93;Civilisation. Culture. Progrès;7366
008/09;La politique culturelle aux Philippines;  ;Paris;Unesco;1974;42;Civilisation . Culture . Progrès;7367
008/10;La politique culturelle en Italie;  ;Paris;Unesco;1971;83;Civilisation . culture . progrès;7368
008/11;La politique culturelle en Sierra leone;ABRAHAM Arthur;Paris;Unesco;1979;86;Civilisation . Culture . Progrès;7370
008/12;La politique culturelle en Roumanie;BALAN Ion Dodu;Paris;Unesco;1974;75;Civilisation . Culture . Progrès;7371
008/13;La politique culturelle en Israël;MICHMAN Joseph;Paris;Unesco;1973;82;Civilisation . Culture . Progrès;7372
008/14;La politique culturelle dans la République de Corée;YERSU Kim;Paris;Unesco;1976;63;Civilisation . Culture . Progrès;7373
008/15;La politique culturelle en Finlande;  ;Paris;Unesco;1972;81;Civilisation . Culture . Progrès;7374
008/16;La politique culturelle en République Unie de Tanzanie;MBUGHUNI L.A;Paris;Unesco;1974;81;Civilisation . Culture . Progrès;7375
008/17;La politique culturelle de la République de Guinée;  ;Paris;Unesco;1979;94;Civilisation . Culture . Progrès;7376
008/18;La politique culturelle en Hongrie;  ;Paris;Unesco;1974;87;Civilisation . Culture . Progrès;7377
008/19;La politique culturelles en Union des Républiques Socialistes Soviétiques;ZVORYKINE A.A;Paris;Unesco;1970;72;Civilisation . culture . progrès;7378
008/20;La politique culturelle dans la République Socialiste Soviétique de Biélorussie;  ;Paris;Unesco;1978;53;Civilisation . Culture . Progrès;7379
008/21;La politique culturelle en Pologne;WITOLD BALICKI Stanislaw. KOSSAK Jerzy. ZULAWSKI Miroslaw;Paris;Unesco;1972;70;Civilisation. Culture. Progrès;7380
008/22;La politique culturelle en Bulgarie;POPOV Kostadine;Paris;Unesco;1972;64;Civilisation . Culture . Progrès;7381
008/23;La politique culturelle au Ghana;Ministère de l'Education ACCRA;Paris;Unesco;1976;53;Civilisation . Culture . Progrès;7382
008/24;La politique culturelle en Tunisie;SAID Rafik;Paris;Unesco;1977;56;Civilisation . Culture . Progrès;7383
008/25;Le rôle de la culture dans les loisirs en Nouvelle-Zélande;SMYTH Bernard;Paris;Unesco;1973;95;Civilisation . Culture . Progrès;7384
008/26;La politique culturelle à Cuba;OTERO Lisandro;Paris;Unesco;1972;58;Civilisation. culture . progrès;7385
008/27;La politique culturelle en Yougoslavie;MAJSTOROVIC Stevan;Paris;Unesco;1971;87;Civilisation . culture . progrès;7386
008/28;La politique culturelle du Nigéria;FASUYI T A;Paris;Unesco;1972;72;Civilisation . culture . progrès;7387
008/29;La politique culturelle au Sénégal;SEYNI M'bengue Mamadou;Paris;Unesco;1973;68;Civilisation . culture . progrès;7388
008/30;La politique culturelle en Indonésie;  ;Paris;Unesco;1973;49;Civilisation . culture . progrès;7389
008/31;La politique culturelle en République du Zaïre;EKANGA Botombele Bokongo;Paris;Unesco;1975;123;Civilisation . culture . progrès;7390
008/32;La politique culturelle de la République de Guinée;  ;Paris;Unesco;1979;94;Civilisation . culture . progrès;2568
008/33;La politique culturelle en Egypte;WAHBA Magdi;Paris;Unesco;1972;103;Civilisation . culture . progrès;7391
008/34;La politique culturelle en République Populaire Démocratique de Corée;SIN SIK Chai. JONG Hun Hyon;Paris;Unesco;1979;42;Civilisation. culture. progrès;7392
008/35;La politique culturelle au Japon;SHIKAUMI Nobuya;Paris;Unesco;1970;63;Civilisation . culture . progrès;7424
008/36;La politique culturelle en Tchécoslovaquie;MAREK Miroslav;Paris;Unesco;1970;73;Civilisation . culture . progrès;7426
008/37;La politique culturelle en Grande Bretagne;GREEN Michael. WILDING Michael;Paris;Unesco;1970;71;Civilisation. culture. progrès;7427
008:37_927_/55;Culture et éducation arabo-islamique au Sam : pendant les trois premiers siècles de l'Islam;ABIAD Malake;Damas;Cpdgrc;1981;357;Culture - éducation islamique;13302
008/38;Réflexions préalables sur les politiques culturelles;  ;Paris;Unesco;1969;52;Civilisation . culture . progrès;7428
008/39;La politique culturelle aux Etats-Unis;MARK Charles;Paris;Unesco;1969;48;Civilisation . culture . progrès;7425
008/40;Les relations culturelles internationales;DOLLOT Louis;Paris;Puf;1968;128;Civilisation . culture . progrès;1942
008/41;La politique culturelle à Sri Lanka;BANDARA H;Paris;Unesco;1973;79;Civilisation . culture . progrès;7369
008/43;La politique culturelle : au Maroc;BEN BACHIR Mohammed. MOULAY Mohammed Najib;Paris;Unesco;1981;50;Culture;8742
008/44;Les principes de la coopération culturelle;LEWIS Sulwyn;Paris;Unesco;1971;29;Information, communications;6624
008/46;Les principes de la coopération culturelle;LEWIS Sulwyn;Paris;Unesco;1971;29;Information, communications;5852
008/47;La danse de la vie = the dance of life : temps culturel temps vécu;HALL Edward;Paris;Seuil;1984;265;Civilisation . culture . progrès;13090
008/48;Le sens du futur;OFFREDO Jean;Paris;Universitaires;1971;199;Civilisation . culture . progrès;13649
008/49;Scientific research I : the search for system. vol 3/1;BUNGE Mario;Berlin;Springer/Verlag;1967;519;Méthodes scientifiques et techniques;8851
008/50;Scientific research II : the search for truth. vol 3/II;BUNGE Mario;Berlin;Springer/Verlag;1967;360;Méthodes scientifiques et techniques;8868
008/51;Aspects de la civilisation américaine;GUIGUET Jean;Paris;A. Colin;1971;338;Civilisation américaine;19116
008/52;La culture du pauvre = the uses of literacy : étude sur le style de vie des classes populaires en Angleterre;HOGGART Claude;Paris;Minuit;1970;401;Civilisation . Culture. Progrès;13605
008/54;History and philosophy of science;MOHAMMED Said Hakim;Islamabad;Hamdard;1979;280;Civilisation, culture . progrès;12792
008/56;L'esprit américain : interprétation de la pensée et du caractère américains depuis 1880;COMMAGER Henry;Paris;Puf;1965;588;Civilisation - progrès;15657
008/80;La culture contre l'homme;STEINER Georges;Paris;Seuil;1971;160;Culture;16956
008/83;La culture planifiée ? ;BENSAID Georges;Paris;Seuil;1969;336;Culture;21772
008/84t1;Geschichte des arabischen schrifttums. band 1, qu'ànwissenschaften. hadît. geschichte. fiqh. dogmatik;SEZGIN Fuat;Netherlands;Leiden;1967;938;Culture et sciences arabes: religion;24113
008/84t2;Geschichte des arabischen scrifttums. band 2 : poesie;SEZGIN Fuat;Netherlands;Leiden;1975;810;Culture et sciences arabes : poésie;24114
008/84t3;Geschichte des arabischen schrifttums. band 3 : medizin - phamazie - zoologie - tierheilkunde;SEZGIN Fuat;Netherlands;Leiden;1970;500;Culture et sciences arabes : médecine - zoologie;24115
008/84t4;Geschichte des arabischen schrefttums. band 4 : alchimie - chimie - botanik - agrikultur;SEZGIN Fuat;Netherlands;Leiden;1971;402;Culture et sciences arabes : chimie - botanique -agriculture;24116
008/84t5;Geschichte des arabischen schrifttums. band 5 : mathematik;SEZGIN Fuat;Netherlands;Leiden;1974;520;Culture et sciences arabes : mathématiques;24117
008/84t6;Geschichte des arabischen schrifttums. band 6 : astronomie;SEZGIN Fuat;Netherlands;Leiden;1978;524;Culture et sciences arabes : astronomie;24118
008/84t7;Geschichte des arabischen schrifttums. band 7 : astrologie - meteorologie und verwandtes;SEZGIN Fuat;Netherlands;Leiden;1979;490;Culture et sciences arabes : astrologie - météorologie;24119
008/84t9;Geschichte des arabischen schrifttums. band 9 : gramatik;SEZGIN Fuat;Netherlands;Leiden;1984;408;Culture et sciences arabes : grammaire;24120
008/85;La pensée arabe et l'Occident;HOURANI Albert;Paris;Naufal;1991;418;Culture : penseurs arabes en 19è siècle - islam - monde moderne;25188
008/86;Pratiques et résistance culturelles au Maghreb;SRAIEB Noureddine (s/s dir);Paris;CNRS;1992;392;Culture : Maghreb contemporain;25156
009_61_/02;Culture et société au Maghreb;  ;Paris;Cnrs;1975;296;Culture : Maghreb;10375
009_61_/02bis;Culture et société au Maghreb;  ;Paris;Cnrs;1975;295;Culture: Maghreb;4540
009/01;Imaginaire et réalité;CHARON Jean;Paris;A. Michel;1985;300;Science et l'esprit en général;14861
009/03;Gödel, Escher, Bach : an eternal golden braid;HOFSTADTER Douglas;London;Penguin;1979;758;Science de l'esprit en général;10213
009/04;Le partage du savoir: science, culture, vulgarisation;ROQUEPLO Philippe;Paris;Seuil;1974;254;Science et l'esprit en général;13849
009/05;L'esprit et la science;CHARON Jean;Paris;A. Michel;1983;478;Science et l'esprit en général;13000
011/016/01;Les services bibliographiques dans le monde 1965 - 1969;AVICENNE Paul;Paris;Unesco;1972;320;Bibliographies;17669
011/02;La bibliographie;MALCLES Louise-Noell;Paris;Puf;1977;128;Science et connaissance en général;2062
013/01;The Japon foundation 1980 - an introductioy bibliography for japanese studies : humanities 1976 - 77 . vol3 / par t2;Center For science;Tokyo;C.s.c;1980;259;Bibliographies collectives;6631
016/01;Palestine and the arab-israeli conflict : an annotated bibliography;  ;Beyrouth;Inst. for palestinian. stud;1974;737;Bibliographie des sujets spéciaux;749
017/01;International handbook of universities;AITKEN D.J;London;Macmilan;1983;1131;Guide. catalogue;12835
01_64_/11;L'éducation et l'enseignement au Maroc : sous le protectorat français et espagnol;BENCHEKROUN Mohamed;Rabat;;1982;201;Bibliographie : éducation;18259
01_6_/03;Sources d'information sur l'Afrique Noire francophone et Madagascar;PORGES Laurence;Paris;Documentation française;1988;389;Bibliographie. catalogues;18718
301.19/23_p2_t2;Tendances principales de la recherche dans les sciences sociales et humaines : sciences juridiques;HAVET Jacques (s/s dir);Paris;Mouton / Unesco;1978;1645;Points de vue et tendances sociales;2288
01:550/01;Bibliographie hydrologique africaine = bibliography of african hydrology;RODIER J;Paris;Unesco;1963;170;Bibliographie;5739
01-janv;Bibliographie des publications éditées par l'UNESCO ou ses auspices;UNESCO;Paris;Unesco;1973;294;Bibliographie;5799
01-févr;Bibliographie de dictionnaires scientifiques et techniques multilingues;UNESCO;Switzerland;Unesco;1969;214;Bibliographie;5719
01-avr;Bibliographie pédagogique annuelle;Bureau International d'Education;Genève;Bie;1969;232;Bibliographie;209
01-mai;Amine Ar-Rihani : penseur et homme de lettres libanais;ZAKKA Najib;Lille;Pul;1975;246;Bibliographie;10358
01-juin;Bibliographie de dictionnaires scientifiques et techniques multilingues;UNESCO;Switzerland;Unesco;1969;39;Bibliographie;12098
01-juil;Bibliographie des publications éditées par l'UNESCO ou ses auspices : les vingt-cinq premières années : 1946 à 1971;UNESCO;Paris;Unesco;1973;385;Bibliographie;13036
01-août;Bibliographie de la culture arabe contemporaine;BERQUE Jacques;Paris;Unesco;1981;483;Bibliographie;11660
01-sept;La bibliophilie;VAUCAIRE Michel;Paris;Puf;1970;125;Bibliographie;2252
01/10t1;Bibliographie des ouvrages arabes : ou relatifs aux arabes publiés dans l'Europe chrétienne 1810 à 1885;CHAUVIN Victor;;Institut Monde Arabe;1992;394;Bibliographie;16342
01/10t2;Bibliographie des ouvrages arabes : ou relatifs aux arabes publiés dans l'Europe chrétienne 1810-1885;CHAUVIN Victor;;Institut Monde Arabe;1900;486;Bibliographie;16343
01/10t3;Bibliographie des ouvrages arabes : ou relatifs aux arabes publiés dans l'Europe chrétienne 1810 - 1885;CHAUVIN Victor;;Institut Monde Arabe;1903;384;Bibliographie;16344
01/10t4;Bibliographie des ouvrages arabes : ou relatifs aux arabes publiés dans l'Europe chrétienne 1810 - 1885;CHAUVIN Victor;;Institut Monde Arabe;1909;470;Bibliographie;16345
01-déc;Index translationum 27 : répertoire international des traductions;  ;Paris;Unesco;1978;846;Catalogue bibliographique;5801
01/13t1;Ulrich's international periodicals directory (1982). t1;  ;Newyork;R.R. bowker company;1982;1300;Bibliographie;12924
01/13t2;Ulrich's international periodicals directory (1982). t2;  ;Newyork;R.r.bowker company;1982;2269;Bibliographie;12925
021/01;La planification des infrastructures nationales de documentation, de bibliothèques et d'archives : esquisse d'une politique générale;OLIER J. H;Paris;Unesco;1974;330;Création et développement des bibliothèques;5805
025.3/01;La diffusion internationale des fiches de catalogue : situation actuelle et perspectives d'avenir;GILJAREVSKIJ R;Paris;Unesco;1968;96;Bibliothéconomie;5798
